ID;Ship;Country;Type;Tahun Produksi;Fate
1008;Patroclus;UK;Armed merchant cruiser;12-Sep-39;sunk 4 November 1940
1010;Patterson;USA;Bagley class destroyer;22-Sep-37;scrapped 1947
1011;Paul Jakobi;German;Type 1934A destroyer;29-Jun-37;ceded to UK, then to France Feb 1946 and renamed Desaix, scrapped 1958
1013;Pennsylvania;USA;Pennsylvania-class battleship;12-Jun-16;Decommissioned 29 August 1946, sunk as target 10 February 1948
1014;Pensacola;USA;Pensacola-class heavy cruiser;06-Feb-30;sunk as target 1948
1015;Perkins;USA;Mahan-class destroyer;18-Sep-36;sunk 29 November 1942
1016;Perseus;UK;Colossus class aircraft maintenance ship;16-Dec-44;transferred to France 6 August 1946, renamed Arromanches
1018;Phelps;USA;Porter class destroyer leader;26-Feb-36;scrapped 1947
1019;Philadelphia;USA;Brooklyn class light cruiser;23-Sep-37;transferred to Brazil as Almirante Barroso 1951, scrapped 1973
1020;Phoenix;USA;Brooklyn class light cruiser;03-Oct-38;transferred to Argentina as General Belgrano 1951, sunk by HMS Conqueror in Falklands War on 2 May 1982
1021;Ping Hai;China;light cruiser;;became Yasoshima (Japan)
1022;Pindos;Greece;Hunt (Type III) class escort destroyer;27-Jun-42;Returned to Royal Navy 1959, scrapped 1960
1023;Pinguin;German;Auxiliary cruiser;06-Feb-40;sunk 8 May 1941
1024;Pioneer;UK;Colossus class aircraft maintenance ship;08-Feb-45;scrapped Sep 1954
1026;Pittsburgh;USA;Baltimore class heavy cruiser;10-Oct-44;decommissioned 1956, scrapped 1974
1027;Plunkett;USA;Gleaves class destroyer;17-Jul-40;to Taiwan 1959, scrapped 1975
1028;Pluton;France;minelayer light cruiser;10-Apr-31;lost 13 September 1939
1029;Pola;Italy;Zara class heavy cruiser;1932;sunk 28 March 1941
1030;Pompeo Magno;Italy;Capitani Romani class light cruiser (also known as exploratori oceanici);;
1031;Porter;USA;Porter class destroyer leader;25-Aug-36;sunk 26 October 1942
1032;Portland;USA;Portland class heavy cruiser;23-Feb-33;decommissioned 1946, scrapped 1959
1033;Portsmouth;USA;Cleveland class light cruiser;20-Sep-44;scrapped 1974
1034;Premier;UK;Ruler class escort aircraft carrier;03-Nov-43;Returned to USN 2 April 1946, sold into mercantile service 1947, renamed Rhodesia Star
1035;Preston;USA;Mahan class destroyer;27-Oct-36;sunk 14 November 1942
1036;Pretoria Castle;UK;Armed merchant cruiser, converted to escort aircraft carrier;28-Nov-39;26 January 1946, reconverted to passenger liner & renamed Warwick Castle
1037;Primauguet;France;Duguay-Trouin-class light cruiser;01-Apr-27;scuttled 8 November 1942
1038;Prince David;Canada;Armed Merchant Cruiser;28-Dec-40;Broken up 1951
1039;Prince of Wales;UK;King George V-class battleship;31-Mar-41;sunk 10 December 1941
1040;Princeton;USA;Independence class light carrier;25-Feb-43;sunk 24 October 1944
1041;Prinz Eugen;German;enlarged Admiral Hipper-class heavy cruiser;01-Aug-40;sunk after A-bomb test at Bikini in 1946
1042;Providence;USA;Cleveland class light cruiser;15-May-45;converted to missile cruiser 1959, scrapped 1980
1043;Psara;Greece;modified Freccia class destroyer;1933;sunk 20 April 1941
1044;Puncher;UK;Ruler class escort aircraft carrier;05-Feb-44;Returned to USN 16 January 1946, stricken 12 March 1946, sold into mercantile service renamed Muncaster Castle
1045;Punjab;India;Bathurst class minesweeper;20-Mar-42;Decommissioned 1949
1047;Punjabi;UK;Tribal class destroyer;29-Mar-39;sunk 1 May 1942
1049;Queen Elizabeth;UK;Queen Elizabeth-class battleship;22-Dec-14;decommissioned 1948 and scrapped
1050;Quick;USA;Gleaves-class destroyer;03-Jul-42;decommissioned 1949, scrapped 1973
1051;Quincy�(CA-39);USA;New Orleans-class heavy cruiser;09-Jun-36;sunk 9 August 1942
1052;Quincy�(CA-71);USA;Baltimore-class heavy cruiser;Dec-43;decommissioned 1954 and scrapped in 1974
1053;Raimondo Montecuccoli;Italy;Montecuccoli class light cruiser;1935;decommissioned 1964
1055;Rajputana;UK;Armed merchant cruiser;Dec-39;sunk 13 April 1941
1056;Raleigh;USA;Omaha class light cruiser;06-Feb-24;scrapped 1946
1057;Ralph Talbot;USA;Bagley class destroyer;14-Oct-37;scuttled after A-bomb test, 1948
1058;Ramb I;Italy;Armed merchant cruiser;10-Jun-40;sunk 27 February 1941
1059;Ramb II;Italy;Armed merchant cruiser;10-Jun-40;"Taken over by the Japanese and renamed ""Calitea II"" - sunk on 12 January 1945 by US"
1060;Ramb III;Italy;Armed merchant cruiser;10-Jun-40;Taken over by the Germans 9 September 1943, then in post-war service with the Yugoslav Navy
1061;Ramillies;UK;Revenge-class battleship;01-Sep-17;Decommissioned 31 August 1945, scrapped 1949
1062;Ramsay;USA;Wickes class destroyer minelayer;15-Feb-19;Decommissioned 19 October 1945, scrapped 1947
1063;Randolph;USA;Essex class fleet carrier;29-Jun-44;decommissioned 13 February 1969, scrapped 1975
1065;Ranger;USA;aircraft carrier;04-Jun-34;decommissioned 18 October 1946, scrapped 1947
1068;Rawalpindi;UK;Armed merchant cruiser;01-Oct-39;Sunk 23 November 1939
1069;Razumny;USSR;Gnevny class destroyer;1941;foundered 1960s
1072;Reid;USA;Mahan class destroyer;02-Nov-36;sunk 11 December 1944
1073;Reno;USA;Atlanta class light cruiser;28-Dec-43;decommissioned 1946, scrapped 1962
1074;Renown;UK;Renown-class battlecruiser;20-Sep-16;scrapped 1948
1075;Repulse;UK;Renown-class battlecruiser;18-Aug-16;sunk 10 December 1941
1076;Resolution;UK;Revenge-class battleship;07-Dec-16;scrapped 1949
1077;Reuben James;USA;Clemson class destroyer;24-Sep-20;sunk by U-552, 31 October 1941
1078;Revenge;UK;Revenge-class battleship;01-Feb-16;scrapped 1948
1079;Rhind;USA;Benham class destroyer;10-Nov-39;scuttled after A-bomb test 1948
1080;Richard Beitzen;German;Type 1934 destroyer;13-May-37;ceded to UK, scrapped 1947
1081;Richelieu;France�Free France;Richelieu-class battleship;15-Jul-40;scrapped 1968
1083;Richmond;USA;Omaha class light cruiser;02-Jul-23;scrapped 1946
1084;Rio Grande do Sul;UK;Bahia class light cruiser;1910;scrapped 1948
1085;Riquelme;Chile;Serrano class destroyer;;Discarded 1963
1086;Rivadavia;Argentina;Rivadavia-class battleship;;scrapped Feb 1956
1087;Roberts;UK;Roberts class monitor;27-Oct-41;scrapped June 1965
1088;Rodman;USA;Gleaves class destroyer;29-Apr-42;to Taiwan 1955, damaged and struck 1969, destroyed for motion picture 1976
1089;Rodney;UK;Nelson-class battleship;10-Nov-27;scrapped 1948
1090;Roe;USA;Sims-class destroyer;05-Jan-40;scrapped 1947
1091;Roma;Italy;Littorio-class battleship;14-Jun-42;sunk 9 September 1943
1092;Rosario;Argentina;Rosario-class gunboat;;Sold 4 December 1959
1093;Rowan;USA;Benham-class destroyer;23-Sep-39;sunk 11 September 1943
1094;Royal Oak;UK;Revenge-class battleship;01-May-16;sunk 14 October 1939
1095;Royal Sovereign;UK;Revenge-class battleship;01-Feb-16;transferred to USSR as Arkhangelsk 1944
